National Observatory of Athens
Institute of Environmental Research and Sustainable Development, meteo.gr

Source: LIVE DATA
Date/Time: 2022-03-05 10:03:19 UTC

id   LG Code  Station Name                  Longitude      Latitude   Altitude(m)      Temp Out 
-----------------------------------------------------------------------------------------------
2    LGY7     Aegina                      23.44363900   37.74813500           7.0          13.7
3    LGJ9     Aghios Nikolaos             25.72090000   35.19140000          30.0          16.4
4    LGS8     Agia                        22.76201300   39.71614800         167.0           9.8
5    LGP6     Agia Kiriaki                20.88203500   39.52441000         515.0           ---
6    LGU5     Agioi Theodoroi             23.13156000   37.93251000          37.0          13.8
7    LGH9     Agrinio                     21.41565040   38.61269858          72.0          10.2
8    LGC7     Aitoliko                    21.36278585   38.43604436           3.0          12.2
9    LGU7     Alagonia                    22.24422800   37.10670000         765.0           6.7
10   LGD8     Alexandroupoli              25.85828000   40.87631000          69.0           7.3
11   LGT4     Alikianos                   23.90993000   35.45158000          95.0          18.1
12   LGN2     Alonissos                   23.86687000   39.14773000          50.0          11.6
13   LG52     Amaliada                    21.32840900   37.80260000          26.0          11.7
14   LG29     Amfiklia                    22.64053000   38.61142000         245.0          10.7
15   LGT5     Amorgos                     25.97114200   36.90805500           3.0          15.9
16   LGH5     Ampelokipoi                 23.75836700   37.98175000         136.0          14.4
17   LGG9     Amyntaio                    21.65025600   40.60641700         654.0           ---
18   LGS5     Anavyssos                   23.90410600   37.73339200          10.0          15.7
19   LG77     Andritsaina                 21.90331100   37.48417200         731.0           8.1
20   LGN6     Andros                      24.74488100   37.88121100          16.0           ---
21   LGB6     Anogeia                     24.88942000   35.28672000         801.0          12.3
22   LGO0     Ano Liosia                  23.69152800   38.08185500         182.0          12.9
23   LGG8     Antikira                    22.63685600   38.37701300         336.0          11.9
24   LGV3     Apiranthos                  25.52003100   37.07127100         600.0           9.7
25   LGT0     Apollonas                   25.55496000   37.18114000          35.0          16.7
26   LGC5     Arahova                     22.58592000   38.48516000        1069.0           4.9
27   LGJ4     Ardassa                     21.63944400   40.48083300         617.0           2.2
28   LGU6     Arfara                      22.04557100   37.15588700          96.0          11.6
29   LGT3     Argos                       22.71340120   37.62811460          38.0          12.0
30   LGO1     Aridaia                     22.05383300   40.98331700         120.0           5.3
31   LG38     Arta                        20.99943500   39.17278400          50.0          11.0
32   LGZ6     Askyfou                     24.17654800   35.29339000         715.0           ---
33   LGE4     Aspraggeloi                 20.72056856   39.83122756         945.0           5.7
34   LGV8     Asprovalta                  23.71180900   40.72493100          16.0           7.3
35   LGB9     Athens                      23.71544800   37.97840800          50.0          14.2
36   LGH0     Avlida                      23.60199900   38.40235600          16.0          14.2
37   LGA8     Chalandritsa                21.77599700   38.11121700         362.0           9.7
38   LGO3     Chalkida                    23.66689800   38.50046300         200.0          13.1
39   LG25     Chania                      24.06834900   35.53336500         137.0          17.7
40   LGN3     Chania - Center             24.01480500   35.51303400           7.0          17.7
41   LGU1     Damarionas                  25.47979600   37.05254300         310.0          12.4
42   LGV0     Derveni                     22.42770000   38.13557000           5.0          13.2
