urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:temp:out,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:temp,urn:ogc:def:parameter:x-istsos:1.0:meteo:low:temp,urn:ogc:def:parameter:x-istsos:1.0:meteo:out:hum,urn:ogc:def:parameter:x-istsos:1.0:meteo:dew:pt,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:speed,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:dir,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:run,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:speed,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:dir,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:chill,urn:ogc:def:parameter:x-istsos:1.0:meteo:heat:index,urn:ogc:def:parameter:x-istsos:1.0:meteo:thw:index,urn:ogc:def:parameter:x-istsos:1.0:meteo:thsw:index,urn:ogc:def:parameter:x-istsos:1.0:meteo:bar,urn:ogc:def:parameter:x-istsos:1.0:meteo:rain,urn:ogc:def:parameter:x-istsos:1.0:meteo:rain:rate,urn:ogc:def:parameter:x-istsos:1.0:meteo:solar:rad,urn:ogc:def:parameter:x-istsos:1.0:meteo:solar:energy,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:solar:rad,urn:ogc:def:parameter:x-istsos:1.0:meteo:uv:index,urn:ogc:def:parameter:x-istsos:1.0:meteo:uv:dose,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:uv,urn:ogc:def:parameter:x-istsos:1.0:meteo:heat:d-d,urn:ogc:def:parameter:x-istsos:1.0:meteo:cool:d-d,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:temp,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:hum,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:dew,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:heat,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:emc,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:air:density,urn:ogc:def:parameter:x-istsos:1.0:meteo:et,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:1:moist,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:2:moist,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:3:moist,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:4:moist,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:temp:1,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:temp:2,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:temp:3,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:temp:4,urn:ogc:def:parameter:x-istsos:1.0:meteo:leaf:wet:1,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:samp,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:tx,urn:ogc:def:parameter:x-istsos:1.0:meteo:iss:recept,urn:ogc:def:parameter:x-istsos:1.0:meteo:arc:int
2022-02-18T00:10:00.000000+0000,9.7,9.7,9.6,93,8.6,0.0,-999.9,0.00,0.0,-999.9,9.7,9.9,9.9,8.1,1013.4,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.060,0.000,19.2,53,9.4,18.6,9.92,1.1941,0.00,12,13,26,11,11.1,10.6,11.1,12.2,15,226,1,99.1,10
2022-02-18T00:20:00.000000+0000,9.6,9.6,9.4,93,8.5,0.0,-999.9,0.00,0.0,-999.9,9.6,9.8,9.8,8.0,1013.2,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.061,0.000,19.2,53,9.4,18.5,9.92,1.1942,0.00,12,13,26,11,11.1,10.6,11.1,12.2,15,229,1,100.0,10
2022-02-18T00:30:00.000000+0000,9.4,9.5,9.3,93,8.4,0.0,-999.9,0.00,0.0,-999.9,9.4,9.7,9.7,7.9,1013.1,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.062,0.000,19.2,53,9.4,18.5,9.92,1.1940,0.00,12,13,26,11,11.1,10.6,11.1,12.2,15,233,1,100.0,10
2022-02-18T00:40:00.000000+0000,9.3,9.4,9.3,93,8.3,0.0,-999.9,0.00,0.0,-999.9,9.3,9.6,9.6,7.7,1013.1,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.063,0.000,19.1,53,9.3,18.4,9.92,1.1943,0.00,12,13,26,11,11.1,10.6,11.1,12.2,15,235,1,100.0,10
2022-02-18T00:50:00.000000+0000,9.3,9.5,9.3,94,8.4,0.0,-999.9,0.00,0.0,-999.9,9.3,9.6,9.6,7.8,1013.0,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.063,0.000,19.1,53,9.3,18.4,9.92,1.1942,0.00,12,13,26,11,11.1,10.6,11.1,12.2,15,232,1,100.0,10
2022-02-18T01:00:00.000000+0000,9.6,9.8,9.4,94,8.6,0.0,13,0.00,4.8,13,9.6,9.8,9.8,8.1,1013.1,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.061,0.000,19.1,53,9.3,18.4,9.92,1.1945,0.00,12,13,26,11,11.1,10.6,11.1,12.2,15,234,1,100.0,10
2022-02-18T01:10:00.000000+0000,9.9,9.9,9.8,93,8.8,0.0,-999.9,0.00,0.0,-999.9,9.9,10.1,10.1,8.3,1013.3,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.059,0.000,19.1,53,9.3,18.4,9.92,1.1948,0.00,12,13,26,11,11.1,10.6,11.1,12.2,15,230,1,100.0,10
2022-02-18T01:20:00.000000+0000,9.9,10.0,9.9,93,8.9,0.0,-999.9,0.00,0.0,-999.9,9.9,10.2,10.2,8.4,1013.3,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.058,0.000,19.0,53,9.2,18.3,9.93,1.1950,0.00,12,13,26,11,11.1,10.6,11.1,12.2,15,233,1,100.0,10
2022-02-18T01:30:00.000000+0000,9.9,9.9,9.7,93,8.8,0.0,-999.9,0.00,0.0,-999.9,9.9,10.1,10.1,8.3,1013.3,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.059,0.000,19.0,53,9.2,18.3,9.93,1.1951,0.00,12,13,26,11,11.1,10.6,11.1,12.2,15,234,1,100.0,10
2022-02-18T01:40:00.000000+0000,9.7,9.7,9.6,93,8.6,0.0,-999.9,0.00,0.0,-999.9,9.7,9.9,9.9,8.1,1013.3,0.00,0.0,0,0.00,0,0.0,0.00,0.0,0.060,0.000,19.0,53,9.2,18.3,9.93,1.1951,0.00,12,13,26,11,11.1,10.6,11.1,12.2,15,233,1,100.0,10
