urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:temp:out,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:temp,urn:ogc:def:parameter:x-istsos:1.0:meteo:low:temp,urn:ogc:def:parameter:x-istsos:1.0:meteo:out:hum,urn:ogc:def:parameter:x-istsos:1.0:meteo:dew:pt,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:speed,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:dir,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:run,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:speed,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:dir,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:chill,urn:ogc:def:parameter:x-istsos:1.0:meteo:heat:index,urn:ogc:def:parameter:x-istsos:1.0:meteo:thw:index,urn:ogc:def:parameter:x-istsos:1.0:meteo:bar,urn:ogc:def:parameter:x-istsos:1.0:meteo:rain,urn:ogc:def:parameter:x-istsos:1.0:meteo:rain:rate,urn:ogc:def:parameter:x-istsos:1.0:meteo:solar:rad,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:solar:rad,urn:ogc:def:parameter:x-istsos:1.0:meteo:uv:index,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:uv,urn:ogc:def:parameter:x-istsos:1.0:meteo:heat:d-d,urn:ogc:def:parameter:x-istsos:1.0:meteo:cool:d-d,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:temp,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:hum,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:dew,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:heat,urn:ogc:def:parameter:x-istsos:1.0:meteo:et,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:air:density,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:moist1,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:moist2,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:moist3,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:moist4,urn:ogc:def:parameter:x-istsos:1.0:meteo:road:temp,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:temp2,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:temp3,urn:ogc:def:parameter:x-istsos:1.0:meteo:soil:temp4,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:samp,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:tx,urn:ogc:def:parameter:x-istsos:1.0:meteo:iss:recept,urn:ogc:def:parameter:x-istsos:1.0:meteo:arc:int
2022-02-17T10:20:00.000000+0000,11.5,11.6,11.3,79,8.0,1.6,12,0.27,4.8,11,11.5,11.5,10.9,1013.6,0.0,0.0,-999.9,-999.9,-999.9,-999.9,0.047,0.000,9.9,71,4.9,9.9,0.00,1.2372,-999.9,-999.9,-999.9,-999.9,12.8,-999.9,-999.9,-999.9,229,1,97.8,10
2022-02-17T10:30:00.000000+0000,11.8,11.8,11.4,73,7.1,1.6,9,0.27,4.8,9,11.8,11.8,11.2,1013.4,0.0,0.0,-999.9,-999.9,-999.9,-999.9,0.045,0.000,10.1,71,5.1,10.1,0.00,1.2365,-999.9,-999.9,-999.9,-999.9,12.8,-999.9,-999.9,-999.9,229,1,97.8,10
2022-02-17T10:40:00.000000+0000,12.1,12.1,11.8,76,8.0,3.2,10,0.53,4.8,9,12.1,12.1,10.9,1013.2,0.0,0.0,-999.9,-999.9,-999.9,-999.9,0.043,0.000,10.2,71,5.2,10.2,0.00,1.2358,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,232,1,99.0,10
2022-02-17T10:50:00.000000+0000,12.4,12.4,12.1,74,7.9,3.2,9,0.53,6.4,9,12.4,12.4,11.3,1013.2,0.0,0.0,-999.9,-999.9,-999.9,-999.9,0.041,0.000,10.4,71,5.4,10.4,0.00,1.2347,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,232,1,99.1,10
2022-02-17T11:00:00.000000+0000,12.5,12.6,12.5,76,8.4,3.2,9,0.53,8.0,9,12.5,12.5,11.3,1013.1,0.0,0.0,-999.9,-999.9,-999.9,-999.9,0.041,0.000,10.6,71,5.6,10.6,0.00,1.2332,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,232,1,99.1,10
2022-02-17T11:10:00.000000+0000,12.7,12.7,12.5,69,7.2,4.8,11,0.80,9.7,11,12.7,12.7,10.9,1013.3,0.0,0.0,-999.9,-999.9,-999.9,-999.9,0.039,0.000,10.8,71,5.7,10.8,0.00,1.2324,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,233,1,99.5,10
2022-02-17T11:20:00.000000+0000,12.7,12.8,12.6,71,7.6,4.8,11,0.80,9.7,12,12.7,12.7,10.9,1013.2,0.0,0.0,-999.9,-999.9,-999.9,-999.9,0.039,0.000,10.9,71,5.8,10.9,0.00,1.2316,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,230,1,98.2,10
2022-02-17T11:30:00.000000+0000,12.8,12.9,12.7,72,7.9,4.8,11,0.80,9.7,12,12.8,12.8,11.0,1013.5,0.0,0.0,-999.9,-999.9,-999.9,-999.9,0.038,0.000,11.2,71,6.1,11.2,0.00,1.2307,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,231,1,98.7,10
2022-02-17T11:40:00.000000+0000,12.9,13.1,12.8,70,7.6,4.8,11,0.80,11.3,11,12.9,12.9,11.2,1013.5,0.0,0.0,-999.9,-999.9,-999.9,-999.9,0.038,0.000,11.4,71,6.3,11.4,0.00,1.2300,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,231,1,98.7,10
2022-02-17T11:50:00.000000+0000,13.4,13.4,12.9,67,7.4,4.8,12,0.80,11.3,12,13.4,13.4,11.6,1013.6,0.0,0.0,-999.9,-999.9,-999.9,-999.9,0.034,0.000,11.6,71,6.5,11.6,0.00,1.2284,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,233,1,99.5,10
