urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:temp:out,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:temp,urn:ogc:def:parameter:x-istsos:1.0:meteo:low:temp,urn:ogc:def:parameter:x-istsos:1.0:meteo:out:hum,urn:ogc:def:parameter:x-istsos:1.0:meteo:dew:pt,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:speed,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:dir,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:run,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:speed,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:dir,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:chill,urn:ogc:def:parameter:x-istsos:1.0:meteo:heat:index,urn:ogc:def:parameter:x-istsos:1.0:meteo:thw:index,urn:ogc:def:parameter:x-istsos:1.0:meteo:bar,urn:ogc:def:parameter:x-istsos:1.0:meteo:rain,urn:ogc:def:parameter:x-istsos:1.0:meteo:rain:rate,urn:ogc:def:parameter:x-istsos:1.0:meteo:solar:rad,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:solar:rad,urn:ogc:def:parameter:x-istsos:1.0:meteo:uv:index,urn:ogc:def:parameter:x-istsos:1.0:meteo:hi:uv,urn:ogc:def:parameter:x-istsos:1.0:meteo:heat:d-d,urn:ogc:def:parameter:x-istsos:1.0:meteo:cool:d-d,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:temp,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:hum,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:dew,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:heat,urn:ogc:def:parameter:x-istsos:1.0:meteo:et,urn:ogc:def:parameter:x-istsos:1.0:meteo:in:air:density,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:samp,urn:ogc:def:parameter:x-istsos:1.0:meteo:wind:tx,urn:ogc:def:parameter:x-istsos:1.0:meteo:iss:recept,urn:ogc:def:parameter:x-istsos:1.0:meteo:arc:int
2022-02-17T10:20:00.000000+0000,9.6,9.6,9.4,87,7.5,1.6,13,0.27,4.8,13,9.6,9.6,9.0,1013.9,0.0,0.0,140,169,-999.9,-999.9,0.061,0.000,19.8,60,11.8,19.8,0.00,1.1897,227,0,94.6,10
2022-02-17T10:30:00.000000+0000,9.6,9.7,9.6,87,7.5,4.8,13,0.80,8.0,12,9.3,9.6,7.8,1013.8,0.0,0.0,210,230,-999.9,-999.9,0.061,0.000,19.8,60,11.8,19.8,0.00,1.1896,226,0,94.2,10
2022-02-17T10:40:00.000000+0000,9.6,9.6,9.5,88,7.7,4.8,11,0.80,8.0,13,9.3,9.6,7.8,1013.8,0.0,0.1,177,223,-999.9,-999.9,0.061,0.000,19.8,58,11.3,19.8,0.00,1.1902,226,0,94.2,10
2022-02-17T10:50:00.000000+0000,9.3,9.6,9.3,88,7.4,4.8,10,0.80,9.7,10,9.0,9.3,7.5,1013.9,0.0,0.0,109,121,-999.9,-999.9,0.063,0.000,19.8,58,11.3,19.8,0.00,1.1902,228,0,95.0,10
2022-02-17T11:00:00.000000+0000,9.4,9.4,9.3,90,7.8,4.8,9,0.80,11.3,9,9.1,9.4,7.6,1013.9,0.0,0.0,91,105,-999.9,-999.9,0.062,0.000,19.8,60,11.8,19.8,0.08,1.1897,226,0,94.2,10
2022-02-17T11:10:00.000000+0000,9.4,9.4,9.4,90,7.8,3.2,8,0.53,8.0,8,9.4,9.4,8.2,1014.1,0.0,0.0,76,83,-999.9,-999.9,0.062,0.000,19.8,59,11.6,19.8,0.00,1.1902,228,0,95.0,10
2022-02-17T11:20:00.000000+0000,9.2,9.4,9.2,91,7.8,6.4,8,1.07,9.7,8,8.5,9.2,6.8,1014.2,0.0,0.0,124,156,-999.9,-999.9,0.063,0.000,19.8,59,11.6,19.8,0.00,1.1903,227,0,94.6,10
2022-02-17T11:30:00.000000+0000,9.4,9.4,9.2,91,8.0,4.8,8,0.80,11.3,8,9.1,9.4,7.6,1014.1,0.0,0.0,173,250,-999.9,-999.9,0.062,0.000,19.8,59,11.6,19.8,0.00,1.1902,226,0,94.2,10
2022-02-17T11:40:00.000000+0000,9.7,9.7,9.3,89,8.0,6.4,6,1.07,11.3,6,9.0,9.7,7.3,1014.0,0.0,0.0,249,278,-999.9,-999.9,0.060,0.000,19.8,60,11.8,19.8,0.00,1.1899,227,0,94.6,10
2022-02-17T11:50:00.000000+0000,9.7,9.7,9.6,88,7.8,4.8,6,0.80,8.0,8,9.4,9.7,7.9,1013.9,0.0,0.0,163,197,-999.9,-999.9,0.060,0.000,19.8,60,11.8,19.8,0.00,1.1897,227,0,94.6,10
2022-02-17T12:00:00.000000+0000,9.6,9.7,9.4,89,7.9,3.2,7,0.53,8.0,7,9.6,9.6,8.4,1013.9,0.0,0.0,100,109,-999.9,-999.9,0.061,0.000,19.8,60,11.8,19.8,0.08,1.1897,228,0,95.0,10
2022-02-17T12:10:00.000000+0000,9.3,9.6,9.3,90,7.7,4.8,6,0.80,8.0,7,9.0,9.3,7.5,1013.9,0.2,0.0,93,100,-999.9,-999.9,0.063,0.000,19.8,60,11.8,19.8,0.00,1.1897,226,0,94.2,10
2022-02-17T12:20:00.000000+0000,9.1,9.3,9.1,92,7.9,4.8,5,0.80,8.0,6,8.8,9.1,7.3,1013.7,0.0,0.0,113,134,-999.9,-999.9,0.064,0.000,19.9,60,11.9,19.9,0.00,1.1890,228,0,95.0,10
2022-02-17T12:30:00.000000+0000,9.3,9.3,9.1,94,8.4,4.8,5,0.80,8.0,4,9.1,9.3,7.5,1013.5,0.0,0.0,179,220,-999.9,-999.9,0.063,0.000,19.9,59,11.6,19.9,0.00,1.1890,226,0,94.2,10
2022-02-17T12:40:00.000000+0000,9.2,9.3,9.2,93,8.1,3.2,8,0.53,8.0,4,9.2,9.2,8.0,1013.5,0.2,0.0,158,195,-999.9,-999.9,0.063,0.000,19.9,59,11.6,19.9,0.00,1.1890,227,0,94.6,10
2022-02-17T12:50:00.000000+0000,9.1,9.2,9.1,94,8.2,6.4,8,1.07,12.9,8,8.3,9.1,6.7,1013.4,0.4,2.4,242,448,-999.9,-999.9,0.064,0.000,19.8,60,11.8,19.8,0.00,1.1890,226,0,94.2,10
2022-02-17T13:00:00.000000+0000,9.1,9.3,9.0,94,8.2,3.2,8,0.53,6.4,8,9.1,9.1,7.9,1013.3,0.0,1.0,401,522,-999.9,-999.9,0.064,0.000,19.9,61,12.2,19.9,0.10,1.1883,228,0,95.0,10
2022-02-17T13:10:00.000000+0000,9.5,9.5,9.2,93,8.4,3.2,9,0.53,8.0,8,9.5,9.5,8.3,1013.2,0.0,0.0,357,443,-999.9,-999.9,0.061,0.000,19.9,59,11.6,19.9,0.00,1.1886,228,0,95.0,10
2022-02-17T13:20:00.000000+0000,10.2,10.2,9.5,92,9.0,3.2,13,0.53,6.4,14,10.2,10.2,9.0,1013.0,0.0,0.0,502,744,-999.9,-999.9,0.056,0.000,19.9,60,11.9,19.9,0.00,1.1882,227,0,94.6,10
2022-02-17T13:30:00.000000+0000,9.8,10.3,9.8,90,8.2,1.6,10,0.27,4.8,13,9.8,9.8,9.2,1013.0,0.0,0.0,230,424,-999.9,-999.9,0.059,0.000,19.9,60,11.9,19.9,0.00,1.1881,227,0,94.6,10
2022-02-17T13:40:00.000000+0000,9.8,9.8,9.7,90,8.2,3.2,5,0.53,8.0,5,9.8,9.8,8.6,1012.8,0.0,0.0,135,176,-999.9,-999.9,0.059,0.000,19.9,59,11.6,19.9,0.00,1.1882,226,0,94.2,10
